ratinguser,resort_type,apart_type,ghouse_type,hotels_type,capsule_type,homest_type,camp_type,villas_type,ratingprop,good_label,conve_label,impre_label,superb_label,reviewamount,randomrate,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,cleanaccom,landmarknear,,,
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Braga, Asia Afrika",,,  0.3  2          0.8               0.75        50      0.20056780  0.9901189  0.10541301
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Braga, Asia Afrika",,,  0.3  2          0.8               0.75       100      0.14140290  0.9949708  0.06142120
9.4,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,1,1,1,Taman Hutan Raya Juanda,,,  0.3  2          0.8               0.75       150      0.13180402  0.9955707  0.05291429
9.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,1,2,1,0,2,3,4,1,1,Taman Hutan Raya Juanda,,,0.3  2          0.8               1.00        50      0.20498157  0.9897819  0.09631895
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,4,4,1,Taman Hutan Raya Juanda,,,  0.3  2          0.8               1.00       100      0.16472937  0.9930029  0.06183615
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Taman Hutan Raya Juanda,,,  0.3  2          0.8               1.00       150      0.15423990  0.9937605  0.05477280
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,2,1,Taman Hutan Raya Juanda,,,  0.3  3          0.6               0.50        50      0.29066997  0.9794701  0.14479970
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Taman Hutan Raya Juanda,,,  0.3  3          0.6               0.50       100      0.24721421  0.9850548  0.11033840
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Taman Hutan Raya Juanda,,,  0.3  3          0.6               0.50       150      0.23450664  0.9865811  0.10251437
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,2,2,1,Taman Hutan Raya Juanda,,,  0.3  3          0.6               0.75        50      0.28729661  0.9792270  0.12647511
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Taman Hutan Raya Juanda,,,  0.3  3          0.6               0.75       100      0.25226051  0.9840342  0.09735659
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,4,2,1,3,1,1,5,1,-4,1,Taman Hutan Raya Juanda,,,  0.3  3          0.6               0.75       150      0.24673027  0.9847794  0.09174751
9.7,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Taman Hutan Raya Juanda,,,  0.3  3          0.6               1.00        50      0.25279616  0.9839024  0.11301163
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,4,4,1,Taman Hutan Raya Juanda,,,  0.3  3          0.6               1.00       100      0.22721823  0.9863201  0.08827665
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Taman Hutan Raya Juanda,,,  0.3  3          0.6               1.00       150      0.22255100  0.9867119  0.08371476
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Taman Hutan Raya Juanda,,,  0.3  3          0.8               0.50        50      0.22829113  0.9873256  0.09284192
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,4,0,1,3,1,5,4,1,Taman Hutan Raya Juanda,,,  0.3  3          0.8               0.50       100      0.21718999  0.9883468  0.07941975
8.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Taman Hutan Raya Juanda,,,  0.3  3          0.8               0.50       150      0.21240473  0.9886017  0.07587665
8.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Taman Hutan Raya Juanda,,,  0.3  3          0.8               0.75        50      0.19894375  0.9901876  0.08190381
8.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Taman Hutan Raya Juanda,,,  0.3  3          0.8               0.75       100      0.17829745  0.9921892  0.06768834
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,Taman Hutan Raya Juanda,,,  0.3  3          0.8               0.75       150      0.17531026  0.9924534  0.06440541
9.4,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,Taman Hutan Raya Juanda,,,  0.3  3          0.8               1.00        50      0.17971449  0.9918411  0.07578670
8.5,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,1,Taman Hutan Raya Juanda,,,  0.3  3          0.8               1.00       100      0.16005890  0.9935203  0.06162442
8.8,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,1,0,0,1,0,2,2,1,Taman Hutan Raya Juanda,,,  0.3  3          0.8               1.00       150      0.15518046  0.9939022  0.05819564
8.5,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,1,0,0,1,0,0,1,0,1,1,1,Taman Hutan Raya Juanda,,,  0.4  1          0.6               0.50        50      0.34832288  0.9708056  0.22480386
9.7,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,1,1,0,1,0,1,1,1,Taman Hutan Raya Juanda,,,  0.4  1          0.6               0.50       100      0.22373570  0.9880975  0.13895435
9.7,0,0,0,0,0,0,0,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,1,0,1,Taman Hutan Raya Juanda,,,0.4  1          0.6               0.50       150      0.15678995  0.9940596  0.09541492
8.5,0,0,0,0,0,0,0,1,0,0,0,0,0,24,0,0,1,0,0,1,0,1,1,0,1,1,1,Taman Hutan Raya Juanda,,,  0.4  1          0.6               0.75        50      0.31553728  0.9761208  0.20129978
9.7,0,0,0,0,0,0,0,1,0,0,0,0,0,24,0,0,1,0,0,1,0,1,1,0,2,2,1,Taman Hutan Raya Juanda,,,  0.4  1          0.6               0.75       100      0.19432439  0.9909589  0.12456785
